can it get to the next point,will it be able to get to the gas station,will it be able to get to the gas station after arriving at the next point,will it be able to take the next vegetable to the tractor storage,will it be able to get to the vegetable warehouse,will it be able to get to the gas station after it arrives at the vegetable warehouse,is the vegetable warehouse closed,is the gas station closed,go to: 1)next veget. 2)gas station 3)warehouse 4)sleep 5)GAME OVER
1,0,1,0,1,0,0,1,5
1,0,1,0,1,0,1,0,5
1,0,1,0,1,0,1,1,5
1,0,1,0,1,1,0,0,5
1,0,1,0,1,1,0,1,5
1,0,1,0,1,1,1,0,4
1,0,1,0,1,1,1,1,4
1,0,1,1,0,0,0,0,1
1,0,1,1,0,0,0,1,1
1,0,1,1,0,0,1,0,1
1,0,1,1,0,0,1,1,1
1,0,1,1,0,1,0,0,1
1,0,1,1,0,1,0,1,1
1,0,1,1,0,1,1,0,1
1,0,1,1,0,1,1,1,1
1,0,1,1,1,0,0,0,1
1,0,1,1,1,0,0,1,1
1,0,1,1,1,0,1,0,1
1,0,1,1,1,0,1,1,1
1,0,1,1,1,1,0,0,1
1,0,1,1,1,1,0,1,1
1,0,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,2
1,1,0,0,0,0,0,1,4
1,1,0,0,0,0,1,0,2
1,1,0,0,0,0,1,1,4
1,1,0,0,0,1,0,0,2
1,1,0,0,0,1,0,1,4
1,1,0,0,0,1,1,0,2
1,1,0,0,0,1,1,1,4
1,1,0,0,1,0,0,0,2
1,1,0,0,1,0,0,1,4
1,1,0,0,1,0,1,0,2
1,1,0,0,1,0,1,1,4
1,1,0,0,1,1,0,0,2
1,1,0,0,1,1,0,1,4
1,1,0,0,1,1,1,0,2
1,1,0,0,1,1,1,1,4
1,1,0,1,0,0,0,0,2
1,1,0,1,0,0,0,1,4
1,1,0,1,0,0,1,0,2
1,1,0,1,0,0,1,1,4
1,1,0,1,0,1,0,0,2
1,1,0,1,0,1,0,1,4
1,1,0,1,0,1,1,0,2
1,1,0,1,0,1,1,1,4
1,1,0,1,1,0,0,0,2
1,1,0,1,1,0,0,1,4
1,1,0,1,1,0,1,0,2
1,1,0,1,1,0,1,1,4
1,1,0,1,1,1,0,0,2
1,1,0,1,1,1,0,1,4
1,1,0,1,1,1,1,0,2
1,1,0,1,1,1,1,1,4
1,1,1,0,0,0,0,0,2
1,1,1,0,0,0,0,1,4
1,1,1,0,0,0,1,0,2
1,1,1,0,0,0,1,1,4
1,1,1,0,0,1,0,0,2
1,1,1,0,0,1,0,1,4
1,1,1,0,0,1,1,0,2
1,1,1,0,0,1,1,1,4
1,1,1,0,1,0,0,0,2
1,1,1,0,1,0,0,1,4
1,1,1,0,1,0,1,0,2
1,1,1,0,1,0,1,1,4
1,1,1,0,1,1,0,0,3
1,1,1,0,1,1,0,1,3
1,1,1,0,1,1,1,0,4
1,1,1,0,1,1,1,1,4
1,1,1,1,0,0,0,0,1
1,1,1,1,0,0,0,1,1
1,1,1,1,0,0,1,0,1
1,1,1,1,0,0,1,1,1
1,1,1,1,0,1,0,0,1
1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,0,1
1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1
